step,loss
100,6.1911
200,3.2611
300,2.8371
400,2.6226
500,2.5012
600,2.4288
700,2.378
800,2.3411
900,2.3129
1000,2.2945
1100,2.263
1200,2.2609
1300,2.2409
1400,2.2322
1500,2.2298
1600,2.2312
1700,2.2188
