7.105, 0.0, 0.0, 1939.0, -23.0, 0.0, 7.199, 0.0, 0.0, 2003.0, 0.9, 0.0, 7.141, 0.0, 0.0, 2024.0, 45.7, 0.0, 7.09, 0.032, 0.218, 1988.0, -22.4, 0.0, 0.0018943967297673225, -0.44137940038849793, 0.002480302006006241, -0.4005400836467743, 1.3737589230067762, -9.76600456237793, -0.005345453042536974, 0.44391483616343486, 3.815593719482422, 7.13375, 0.032, 0.218, 1988.5, 1.7277196645736694, 0.11480824649333954, 106.4990005493164
6.838, 0.0, 0.0, 1940.0, -9.0, 0.0, 6.969, 0.0, 0.0, 2003.0, 0.9, 0.0, 6.922, 0.0, 0.0, 2023.0, 45.7, 0.0, 6.959, 0.0, 0.11, 1988.0, -7.7, 0.0, -0.0007687639445066452, 0.3695577776388216, 0.002480302006006241, -0.36586645245552063, -0.953709404426657, -9.731330871582031, -0.00528726726770401, -0.8387002234011461, 3.8155696392059326, 6.922, 0.0, 0.11, 1988.5, 1.7274779081344604, 0.11480892449617386, 106.5035629272461
6.813, 0.0, 0.0, 1939.0, -4.3, 0.0, 6.922, 0.0, 0.0, 2003.0, 0.9, 0.0, 6.891, 0.0, 0.0, 2023.0, 45.7, 0.0, 6.904, 0.0, 0.108, 1988.0, -2.4, 0.0, -0.003431924618780613, 0.6171860120173761, 0.002480302006006241, -0.3706490099430084, 0.3949579081711655, -9.793902397155762, -0.005284199491143227, -0.19085458718995416, 3.815615177154541, 6.882499999999999, 0.0, 0.108, 1988.25, 1.7273348569869995, 0.1137513667345047, 106.50749206542969
6.773, 0.0, 0.0, 1939.0, -0.4, 0.0, 6.901, 0.0, 0.0, 2003.0, 0.9, 0.0, 6.879, 0.0, 0.0, 2023.0, 45.7, 0.0, 6.889, 0.032, 0.217, 1988.0, 0.6, 0.0, 0.002427029423415661, 0.6567528405964665, 0.002480302006006241, -0.398148775100708, 1.0890514508691846, -9.76839542388916, -0.005250650458037853, -0.8179432445902014, 3.8156378269195557, 6.860499999999999, 0.032, 0.217, 1988.25, 1.7281293869018555, 0.11301600933074951, 106.51024627685547
6.725, 0.0, 0.0, 1939.0, 4.3, 0.0, 6.856, 0.0, 0.0, 2002.0, 0.9, 0.0, 6.816, 0.0, 0.0, 2023.0, 45.7, 0.0, 6.833, 0.0, 0.0, 1987.0, 5.7, 0.0, -0.0002361321821808815, -0.34257732277564185, 0.003545566461980343, -0.4184747338294983, 0.2663890471199156, -9.787525177001953, -0.005299439188092947, -0.45416232278180624, 3.8156120777130127, 6.807499999999999, 0.0, 0.0, 1987.75, 1.7272255420684814, 0.11340554803609848, 106.51325225830078
6.722, 0.128, 0.0, 1938.0, 8.0, 0.0, 6.851, 0.0, 0.0, 2002.0, 0.9, 0.0, 6.846, 0.0, 0.0, 2023.0, 45.7, 0.0, 6.846, 0.032, 0.218, 1988.0, 9.5, 0.0, 0.002427029423415661, -1.1083929506200234, 0.002480302006006241, -0.3754315972328186, -0.35333231280080146, -9.769591331481934, -0.00517232296988368, -1.773506671407521, 3.8156564235687256, 6.81625, 0.16, 0.218, 1987.75, 1.7271469831466675, 0.11297706514596939, 106.51561737060547
6.785, 0.016, 0.0, 1938.0, 13.9, 0.0, 6.894, 0.0, 0.0, 2002.0, 0.8, 0.0, 6.876, 0.0, 0.0, 2023.0, 45.7, 0.0, 6.856, 0.032, 0.211, 1987.0, 14.2, 0.0, -0.0028992919251322746, -0.9614849193676269, 0.002480302006006241, -0.4483657777309418, 0.4795321388959818, -9.801874160766602, -0.00532887177541852, -0.7338988373850613, 3.815643072128296, 6.85275, 0.048, 0.211, 1987.5, 1.7267770767211914, 0.11376725882291794, 106.51849365234375
6.717, 0.0, 0.0, 1938.0, 17.7, 0.0, 6.874, 0.0, 0.0, 2002.0, 0.9, 0.0, 6.831, 0.0, 0.0, 2023.0, 45.7, 0.0, 6.851, 0.016, 0.433, 1987.0, 18.7, 0.0, -0.006095086224377155, 0.7961073175252802, 0.0019476702436804771, -0.3957575261592865, 0.0050481922771549725, -9.828177452087402, -0.005310390144586563, 1.4099887035358047, 3.8156328201293945, 6.81825, 0.016, 0.433, 1987.5, 1.7264004945755005, 0.113088458776474, 106.52067565917969
6.743, 0.0, 0.0, 1938.0, 22.4, 0.0, 6.853, 0.0, 0.0, 2002.0, 0.9, 0.0, 6.866, 0.0, 0.0, 2023.0, 45.7, 0.0, 6.843, 0.016, 0.214, 1986.0, 24.3, 0.0, 0.0013617640361189842, 0.44424365830332585, 0.003545566461980343, -0.39217060804367065, 0.1327344938204869, -9.738504409790039, -0.005393121857196093, 0.17145680386357748, 3.815619468688965, 6.82625, 0.016, 0.214, 1987.25, 1.7267248630523682, 0.11302317678928375, 106.5233383178711
6.753, 0.064, 0.412, 1937.0, 26.6, 0.0, 6.818, 0.0, 0.0, 2002.0, 0.9, 0.0, 6.783, 0.0, 0.0, 2023.0, 45.7, 0.0, 6.813, 0.0, 0.0, 1986.0, 30.6, 0.0, -0.001301395706832409, 1.095153968947602, 0.0019476702436804771, -0.45793092250823975, -1.6305399557178484, -9.7899169921875, -0.005512782372534275, -0.15053700555735328, 3.8156349658966064, 6.7917499999999995, 0.064, 0.412, 1987.0, 1.7269456386566162, 0.11456294357776642, 106.52552032470703
